_id,name,subject_id,genotype,date_of_birth,sex,session_start_time,session_end_time,stimulus_epochs,project_name,modality,data_level,subject_procedure_details,virus_names
a1a64a17-fa3d-456e-be13-ab4427f14ded,ecephys_666859_2023-06-13_14-19-34_nwb_2025-06-23_16-23-02,666859,Adora2a-Cre/wt,2023-01-25,Female,2023-06-13T14:19:34-07:00,2023-06-13T14:47:34-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
64a5b115-a9a5-4cb9-892d-8af5f875eb81,ecephys_666861_2023-05-23_10-04-20_nwb_2025-06-23_16-38-08,666861,Adora2a-Cre/wt,2023-01-25,Female,2023-05-23T10:04:20-07:00,2023-05-23T10:49:58-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure'], ['Generic surgery procedure']]","[[], [], []]"
9910cc8e-8bf0-4235-bbc8-89536f3d6071,ecephys_666861_2023-05-24_14-30-05_nwb_2025-06-23_16-41-00,666861,Adora2a-Cre/wt,2023-01-25,Female,2023-05-24T14:30:05-07:00,2023-05-24T15:16:29-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure'], ['Generic surgery procedure']]","[[], [], []]"
45cdaffe-3f25-4574-8117-a735e7bdabab,ecephys_671646_2023-07-31_15-21-40_nwb_2025-07-16_13-28-51,671646,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2023-02-25,Female,2023-07-31T15:21:40-07:00,2023-07-31T16:13:00-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
a647216f-e791-48b9-bb7a-8ac500c7eeeb,ecephys_674005_2023-08-08_15-39-38_nwb_2025-06-23_22-44-21,674005,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2023-03-14,Male,2023-08-08T15:39:38-07:00,2023-08-08T16:21:53-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
dca6ae43-e43c-4043-9512-38bf07c0f820,ecephys_674005_2023-08-10_13-15-14_nwb_2025-06-23_22-44-44,674005,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2023-03-14,Male,2023-08-10T13:15:14-07:00,2023-08-10T14:18:18-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
41df8893-c20b-427a-94c3-3b1182c916b7,ecephys_678449_2023-08-28_17-53-41_nwb_2025-07-14_16-17-23,678449,Gad2-IRES-Cre/Gad2-IRES-Cre,2023-04-10,Female,2023-08-28T17:53:41-07:00,2023-08-28T18:28:17-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
c398b858-bf4f-4ad9-8204-1079006b5279,ecephys_678577_2023-11-06_15-58-49_nwb_2025-06-23_17-17-53,678577,Ntrk1-IRES-Cre/wt,2023-04-11,Male,2023-11-06T15:58:49-08:00,2023-11-06T16:40:11-08:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
0094c6ad-50c3-49fd-b5a0-3180d643573a,ecephys_682033_2023-10-26_14-21-51_nwb_2025-07-14_16-33-11,682033,Gad2-IRES-Cre/Gad2-IRES-Cre,2023-05-02,Female,2023-10-26T14:21:51-07:00,2023-10-26T14:56:21-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
2f60b59b-fe68-43ee-a8de-c79002bd8bcf,ecephys_682085_2023-10-03_16-42-49_nwb_2025-07-15_08-51-19,682085,Slc17a6-IRES-Cre/wt,2023-05-03,Male,2023-10-03T16:42:49-07:00,2023-10-03T17:31:24-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
4e2b3d26-4b67-4819-806d-3f55da5929ba,ecephys_684156_2023-10-11_17-45-08_nwb_2025-07-14_16-40-07,684156,Drd1a-Cre/wt,2023-05-14,Female,2023-10-11T17:45:08-07:00,2023-10-11T18:49:28-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
fe201555-1613-41d6-90ca-adec417feffe,ecephys_684156_2023-10-13_16-56-59_nwb_2025-07-14_16-42-11,684156,Drd1a-Cre/wt,2023-05-14,Female,2023-10-12T16:56:59-07:00,2023-10-12T18:01:04-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
76119c86-e2bc-4dcb-8654-8405e5ba4fa3,ecephys_692497_2023-12-11_16-20-55_nwb_2025-07-14_17-04-29,692497,Adora2a-Cre/wt,2023-07-06,Female,2023-12-11T16:20:55-08:00,2023-12-11T17:02:52-08:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
ca77c9d1-1b23-45c6-b40f-d53e651a59a3,ecephys_692497_2023-12-15_16-29-04_nwb_2025-07-14_17-07-23,692497,Adora2a-Cre/wt,2023-07-06,Female,2023-12-15T16:29:04-08:00,2023-12-15T17:10:29-08:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
2a2f70d3-6b11-4d6b-81e5-ce4c2943a867,ecephys_694471_2023-12-11_14-51-57_nwb_2025-06-23_22-29-32,694471,Ntrk1-IRES-Cre/wt,2023-07-19,Male,2023-12-11T14:51:57-08:00,2023-12-11T15:33:49-08:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
7d0cfa81-9dde-4f78-a8cd-b35e91b44cc9,ecephys_694471_2023-12-15_15-26-01_nwb_2025-06-23_22-31-12,694471,Ntrk1-IRES-Cre/wt,2023-07-19,Male,2023-12-15T15:26:01-08:00,2023-12-15T16:07:28-08:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
0ec2e8ae-316d-49e7-91ed-c024dd0ad79c,ecephys_694473_2023-11-28_15-23-23_nwb_2025-07-16_15-35-44,694473,Ntrk1-IRES-Cre/wt,2023-07-19,Female,2023-11-28T15:23:23-08:00,2023-11-28T16:05:02-08:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
a0cdab6a-0905-4907-b4d5-2d85bf860b61,ecephys_697577_2024-02-13_16-24-10_nwb_2025-07-16_15-14-08,697577,Adora2a-Cre/wt,2023-08-07,Male,2024-02-13T16:24:10-07:00,2024-02-13T17:05:24-07:00,['Laser pulses'],Cell Type LUT,['Extracellular electrophysiology'],derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['AAV5-Syn-FLEX-rc[ChrimsonR-tdTomato]']], []]"
143a7ece-9bbf-42bc-856e-cf6f6c780d57,ecephys_704242_2024-04-30_17-13-29_nwb_2025-07-14_17-16-50,704242,Gad2-IRES-Cre/Gad2-IRES-Cre,2023-09-21,Male,2024-04-30T17:13:29-07:00,2024-04-30T17:40:53-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['pAAV-Ef1a-DIO ChRmine-eYFP-WPRE']], []]"
4eac050d-ab62-47f1-b4f5-c486057f22f2,ecephys_704242_2024-05-02_16-51-50_nwb_2025-07-14_17-19-21,704242,Gad2-IRES-Cre/Gad2-IRES-Cre,2023-09-21,Male,2024-05-02T16:51:50-07:00,2024-05-02T17:20:47-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['pAAV-Ef1a-DIO ChRmine-eYFP-WPRE']], []]"
bf0fba2f-94f9-4ae0-8dc1-82776316166d,ecephys_715287_2024-04-24_15-24-43_nwb_2025-07-15_11-24-09,715287,Ntrk1-IRES-Cre/wt,2023-12-04,Female,2024-04-24T15:24:43-07:00,2024-04-24T15:54:45-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure'], ['Generic surgery procedure']]","[[], [], []]"
c8585e3d-bcf7-4191-ae7e-fa5b0b830fa0,ecephys_715290_2024-05-09_15-39-23_nwb_2025-07-16_15-23-53,715290,Ntrk1-IRES-Cre/wt,2023-12-04,Female,2024-05-09T15:39:23-07:00,2024-05-09T16:12:34-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,[['Perfusion']],[[]]
5192c6f9-c327-40fb-a026-d3ef3ec4cc02,ecephys_715339_2024-05-08_16-09-35_nwb_2025-07-16_15-27-40,715339,Drd1a-Cre/wt,2023-12-04,Female,2024-05-08T16:09:35-07:00,2024-05-08T16:37:43-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,[['Perfusion']],[[]]
4b3e05be-bdfa-471a-acb6-94316f4d2f9d,ecephys_719093_2024-05-13_16-42-41_nwb_2025-07-16_15-50-08,719093,Chat-IRES-Cre/Chat-IRES-Cre,2024-01-02,Male,2024-05-13T16:42:41-07:00,2024-05-13T17:10:56-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,[['Perfusion']],[[]]
27a5f834-6975-4a6f-b5f7-796074135e77,ecephys_719093_2024-05-15_15-01-10_nwb_2025-07-16_15-48-15,719093,Chat-IRES-Cre/Chat-IRES-Cre,2024-01-02,Male,2024-05-15T15:01:10-07:00,2024-05-15T15:29:15-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,[['Perfusion']],[[]]
